entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
29_6	157.5752	158.6198	156.5306	79.2857	78.4636	80.1078	76.4811	63.6513	89.3109	54.0964	49.3456	58.8472	7.3078	7.0017	7.6139
29_7	108.6	106.3759	110.8241	45.5037	47.0022	44.0052	79.3749	69.3569	89.3929	24.4185	25.499	23.338	4.8964	5.10604	4.68676
29_8	153.3707	166.4685	140.2729	81.8997	93.5863	70.2131	78.6947	69.6818	87.7076	20.5095	24.8764	16.1426	4.3807	4.9319	3.8295
29_9	185.9113	178.631	193.1916	100.2081	98.82	101.5962	78.8261	67.6803	89.9719	55.8137	64.8464	46.781	7.3943	8.0414	6.7472
3_11	147.024	151.0819	142.9661	76.6106	77.4299	75.7913	72.7354	62.2755	83.1953	68.6779	62.168	75.1878	8.2615	7.8805	8.6425
3_12	149.7255	165.8877	133.5633	70.8368	81.3348	60.3388	71.0575	60.0235	82.0915	34.2708	41.4372	27.1044	5.7633	6.4405	5.0861
3_16	109.6451	109.5661	109.7241	62.6106	63.4299	61.7913	74.0502	64.6467	83.4537	16.7627	16.614	16.9114	4.0969	4.1496	4.0442
3_30	132.4837	137.9206	127.0468	72.3779	71.4992	73.2566	82.1971	72.136	92.2582	31.4744	42.3543	20.5945	5.3734	6.4218	4.325
3_36	151.6771	165.6943	137.6599	67.472	81.8754	53.0686	72.2432	59.7865	84.6999	51.6142	65.5381	37.6903	7.0236	8.0846	5.9626
3_40	184.8627	194.4365	175.2889	93.7363	96.9328	90.5398	79.9127	69.565	90.2604	50.116	46.7101	53.5219	6.8889	6.5323	7.2455
3_43	148.516	149.0499	147.9821	73.2457	77.9705	68.5209	81.1555	68.7334	93.5776	56.2267	58.7168	53.7366	7.4848	7.67345	7.296147
3_44	127.4193	123.663	131.1756	75.7428	70.9587	80.5269	74.2903	61.8417	86.7389	51.7067	56.1355	47.2779	7.1142	7.4528	6.7756
3_46	121.5	114.9858	128.0142	66.2522	62.9963	69.5081	79.0644	69.7743	88.3545	13.2368	13.2475	13.2261	3.6111	3.74302	3.47918
3_53	142.8868	153.5331	132.2405	74.8433	77.3606	72.326	74.2949	60.3205	88.2693	41.9739	32.5982	51.3496	6.3015	5.5086	7.0944
3_55	132.9032	131.5984	134.208	61.9061	65.6121	58.2001	77.0956	68.4018	85.7894	44.4117	33.5567	55.2667	6.5398	5.6971	7.3825
3_56	142.4193	138.663	146.1756	76.8809	85.5111	68.2507	73.3542	60.9897	85.7187	50.909	56.3218	45.4962	7.0809	7.497	6.6648
3_71	139.1129	134.4373	143.7885	66.1893	61.7448	70.6338	73.2415	58.4239	88.0591	38.0232	41.0463	35.0001	6.1474	6.43269	5.86211
3_82	175.0645	168.2439	181.8851	92.0824	88.3171	95.8477	72.6551	59.0148	86.2954	36.9905	35.5836	38.3974	6.055	5.9479	6.1621
3_84	130.9355	124.7277	137.1433	77.2017	83.7943	70.6091	81.4213	72.3699	90.4727	40.3909	19.4798	61.302	5.8901	4.1071	7.6731
30_11	218.0322	216.1146	219.9498	134.8245	134.2854	135.3636	80.2834	69.3588	91.208	36.9735	32.6159	41.3311	6.05	5.7185	6.3815
30_12	197.4837	202.9206	192.0468	112.6987	109.7824	115.615	78.0044	66.0814	89.9274	47.7791	50.1211	45.4371	6.8591	7.06614	6.65206
30_13	190.4677	188.8565	192.0789	87.8497	82.3864	93.313	78.0298	70.9169	85.1427	108.5883	118.6223	98.5543	10.3828	10.8861	9.8795
30_16	161.1129	156.4373	165.7885	82.617	75.4557	89.7783	80.1494	71.6292	88.6696	15.6963	16.2982	15.0944	3.9183	4.04871	3.78789
30_18	162.1773	166.6949	157.6597	102.4408	102.7507	102.1309	79.7486	69.2098	90.2874	25.3666	21.374	29.3592	5.0256	4.6771	5.3741
30_22	159.8466	162.3723	157.3209	97.969	102.8636	93.0744	75.5796	64.17207	86.98713	24.843	31.2445	18.4415	4.8601	5.5874	4.1328
30_23	164.6209	163.4694	165.7724	82.617	75.4557	89.7783	71.898	59.8069	83.9891	49.0143	45.3032	52.7254	6.9894	6.7483	7.2305
30_24	174.1933	185.759	162.6276	100.4155	105.6497	95.1813	77.4494	68.1784	86.7204	48.4279	55.5678	41.288	6.8165	7.3134	6.3196
30_25	153.629	146.5019	160.7561	74.1135	84.4417	63.7853	77.7125	68.7245	86.7005	48.2344	36.5658	59.903	6.8547	5.9901	7.7193
30_27	179.1936	171.7601	186.6271	104.8057	101.2102	108.4012	78.6228	69.6564	87.5892	49.2033	38.3434	60.0632	6.8723	6.0415	7.7031
30_28	151.3788	158.5011	144.2565	81.5853	87.3289	75.8417	80.5805	68.4133	92.7477	11.7705	11.7642	11.7768	3.3988	3.4868	3.3108
30_4	147.5804	157.3074	137.8534	77.4408	77.7507	77.1309	73.384	60.2926	86.4754	26.0529	33.8582	18.2476	4.8636	5.6474	4.0798
30_6	162.4595	166.8239	158.0951	80.4849	78.927	82.0428	77.5922	65.4177	89.7667	17.8919	24.6569	11.1269	3.9376	4.8997	2.9755
30_7	206.3386	205.3403	207.3369	104.6735	106.68144	102.66556	80.9003	71.3566	90.444	51.2901	45.9127	56.6675	7.1186	6.7405	7.4967
30_8	106.8	107.1807	106.4193	42.8873	43.5368	42.2378	77.6125	63.8954	91.3296	27.6587	26.1812	29.1362	5.23802	5.15262	5.32342
31_1	179.0805	179.3079	178.8531	95.5959	97.0378	94.154	82.8335	72.6363	93.0307	33.0923	34.4127	31.7719	5.7448	5.90266	5.58694
31_10	162.6611	169.6302	155.692	87.6294	91.5052	83.7536	78.9142	68.5864	89.242	22.5263	30.5181	14.5345	4.4192	5.4848	3.3536
31_12	132.0159	142.0494	121.9824	81.3715	88.4735	74.2695	74.9111	62.9577	86.8645	30.6606	36.2657	25.0555	5.4233	5.9888	4.8578
31_15	205.9675	213.8559	198.0791	97.7739	107.0833	88.4645	70.4646	61.3418	79.5874	48.0284	39.8985	56.1583	6.8461	6.2539	7.4383
31_16	148.9192	154.6625	143.1759	69.8245	69.2854	70.3636	79.2537	66.8215	91.6859	30.7182	31.7868	29.6496	5.5518	5.7141	5.3895
31_17	181.1933	192.759	169.6276	98.3274	107.2972	89.3576	77.9576	68.4784	87.4368	56.3252	61.5193	51.1311	7.4367	7.7936	7.0798
31_18	210.9515	211.7918	210.1112	110.2457	114.9705	105.5209	75.7772	65.3531	86.2013	58.809	60.1474	57.4706	7.6213	7.6891	7.5535
31_21	106.37	119.4678	93.2722	51.3715	58.4735	44.2695	73.6211	60.6315	86.6107	24.831	15.9065	33.7555	4.8356	3.9343	5.7369
31_26	154.2419	148.9534	159.5304	57.0824	53.3171	60.8477	77.1092	65.2788	88.9396	11.6572	13.7172	9.5972	3.3167	3.772	2.8614
31_28	160.3978	159.9102	160.8854	92.573	87.2795	97.8665	76.3558	65.4925	87.2191	34.8532	34.0543	35.6521	5.8868	5.8689	5.9047
31_30	174.1936	166.7601	181.6271	93.422	90.6755	96.1685	76.6902	64.5328	88.8476	36.4314	43.6929	29.1699	5.9544	6.6234	5.2854
31_31	228.1289	230.5014	225.7564	128.0066	139.014	116.9992	78.9085	70.967	86.85	33.7029	32.8625	34.5433	5.6708	5.5612	5.7804
31_4	146.6637	157.974	135.3534	82.2939	88.8299	75.7579	75.762	61.5823	89.9417	21.5133	27.3996	15.627	4.4875	5.2208	3.7542
31_5	151.5804	161.3074	141.8534	84.3967	86.5744	82.219	78.44702	68.43252	88.46152	80.8976	77.5404	84.2548	8.9601	8.7699	9.1503
31_6	122.4435	119.7598	125.1272	55.7804	57.1091	54.4517	76.2194	62.8824	89.5564	34.9258	36.862	32.9896	5.8878	6.085797	5.6898
32_11	152.419	167.6619	137.1761	84.3838	102.5228	66.2448	78.3459	68.2979	88.3939	25.1849	25.1551	25.2147	4.9541	4.9707	4.9375
32_18	172.3736	170.8135	173.9337	84.684	82.3903	86.9777	77.3933	66.9512	87.8354	30.1928	41.0821	19.3035	5.26305	6.34225	4.18385
32_2	165.2903	162.1469	168.4337	78.0131	81.0398	74.9864	75.9975	66.5254	85.4696	16.61	22.4285	10.7915	3.8308	4.7288	2.9328
32_25	198.1129	193.4373	202.7885	103.8433	106.3606	101.326	79.2804	71.5378	87.023	30.5244	34.1107	26.9381	5.4066	5.8242	4.989
32_3	144.7418	148.9529	140.5307	67.3779	66.4992	68.2566	76.7184	64.4309	89.0059	34.4304	32.509	36.3518	5.8735	5.7481	5.9989
